txkey,fraud_ind
1674282,0
786051,0
124735,0
1174521,0
1531452,0
296960,0
786052,0
1317378,0
1388470,0
786053,0
786054,0
470547,0
412704,0
211204,0
325849,0
1103106,0
1317379,0
1674283,0
354955,0
412705,0
786055,0
1927725,0
1927726,0
1927724,0
182152,0
441608,0
888272,0
786057,0
786056,0
1927728,0
182153,0
1745541,0
1927727,0
786060,0
470548,0
786058,0
325850,0
786059,0
1031415,0
786061,0
1927731,0
1927729,0
1958241,0
383856,0
1927730,0
786062,0
268242,0
1958242,0
1927732,0
441609,0
1674284,0
786064,0
153367,0
786063,0
153368,0
96039,0
182151,0
96040,0
786066,0
786065,0
470549,0
786067,0
1317377,0
1745540,0
296959,0
1459926,0
1927733,0
441610,0
1388469,0
470550,0
441611,0
786069,0
786068,0
1103108,0
1388471,0
786071,0
786070,0
211203,0
96041,0
786072,0
786073,0
1817111,0
786074,0
1602793,0
786075,0
1927734,0
1927735,0
959556,0
1927736,0
1927737,0
153369,0
153370,0
1031417,0
1927738,0
1317381,0
441606,0
786076,0
786078,0
786079,0
1317382,0
786080,0
786077,0
354956,0
441607,0
786081,0
1388472,0
786082,0
786083,0
786084,0
1927739,0
1927740,0
786087,0
786088,0
470546,0
1103109,0
786085,0
153366,0
786086,0
959557,0
1459927,0
1602794,0
1745543,0
268244,0
1745544,0
581161,0
633955,0
63612,0
1927741,0
786090,0
786091,0
1103107,0
1927742,0
786089,0
786092,0
633956,0
786093,0
1745542,0
1927744,0
1031416,0
786095,0
786096,0
786094,0
1174522,0
239801,0
1246170,0
1317380,0
1927743,0
786098,0
786097,0
1174523,0
1927746,0
786099,0
1459928,0
888273,0
581162,0
786031,0
1531454,0
153372,0
1927745,0
888274,0
1674285,0
1927747,0
1459929,0
1531455,0
786033,0
786032,0
1927749,0
296961,0
786034,0
1927750,0
1031418,0
1927748,0
1927751,0
1927752,0
1927753,0
1246171,0
786036,0
786035,0
786037,0
786038,0
1174524,0
211206,0
1602795,0
1745545,0
1388473,0
383860,0
1531453,0
1927754,0
1927755,0
786039,0
786044,0
786045,0
786046,0
786047,0
786040,0
786041,0
786042,0
786043,0
1927756,0
268243,0
412707,0
1317383,0
786048,0
1927758,0
1927759,0
786049,0
1031419,0
786050,0
1927760,0
1459931,0
888275,0
1927757,0
786126,0
786127,0
581163,0
581164,0
1602796,0
412708,0
1927761,0
786128,0
1674286,0
1459932,0
786129,0
1674287,0
1174525,0
1531456,0
1927762,0
1927763,0
786131,0
296963,0
786132,0
1927700,0
1927701,0
786130,0
786134,0
1927702,0
786135,0
786136,0
581166,0
888276,0
786137,0
470551,0
470552,0
786133,0
581167,0
1817112,0
581168,0
325851,0
325852,0
153373,0
239799,0
1246172,0
1317384,0
786139,0
786140,0
786141,0
786142,0
96042,0
581169,0
786138,0
1927706,0
1174526,0
1388474,0
441612,0
1459930,0
786144,0
1927703,0
1927704,0
1927705,0
239800,0
1927707,0
1927708,0
325853,0
1927709,0
1103110,0
1927710,0
1927711,0
786143,0
325854,0
581165,0
786145,0
383861,0
1927713,0
1927712,0
786146,0
1927714,0
153371,0
1927715,0
383857,0
211205,0
1388475,0
1817113,0
786147,0
1927716,0
412706,0
383858,0
786148,0
786149,0
786151,0
786150,0
1927718,0
1927719,0
354957,0
383859,0
786152,0
581170,0
1927717,0
1103111,0
1817114,0
633957,0
1927721,0
786153,0
1745546,0
96044,0
1927720,0
1817115,0
581171,0
1927722,0
786154,0
1927723,0
888277,0
1388476,0
786155,0
786156,0
1927779,0
786157,0
441613,0
1927777,0
1927778,0
581172,0
1459933,0
1927780,0
1927781,0
1031420,0
786158,0
786159,0
412710,0
786160,0
1246173,0
1927782,0
786161,0
1317385,0
786162,0
1927784,0
296962,0
786163,0
1031421,0
153374,0
786164,0
581176,0
786165,0
1927785,0
1674289,0
1927783,0
1927786,0
1674288,0
786166,0
1174527,0
786167,0
581173,0
581174,0
239802,0
581175,0
1927787,0
1174529,0
786100,0
786101,0
1817116,0
786103,0
786102,0
1927788,0
888278,0
1602797,0
786104,0
1174530,0
153375,0
1927789,0
786106,0
1602798,0
